774cf58b Aarons-Max
77816c91 Adama-Traore-Bénie
c81d773d Adarabioyo-Tosin
0480ebc7 Adebayo-Elijah
4dcec659 Adingra-Simon
288e1e13 Aguerd-Nayef
938fa024 Aguilera-Brandon
a6c58494 Ahamada-Naouirou
eab957a3 Ahmedhodžić-Anel
246d153b Aina-Ola
9b398aea Aït-Nouri-Rayan
a8c0acb7 Ajer-Kristoffer
89ac64a6 Akanji-Manuel
eaeca114 Aké-Nathan
77e84962 Alcántara-Thiago
cd1acf9d Alexander-Arnold-Trent
7a2e46a8 Alisson
862a1c15 Almirón-Miguel
8b3ab7ad Álvarez-Edson
15ab5a2b Álvarez-Julián
2ee5b0c9 Amdouni-Zeki
5a2cb25d Amrabat-Sofyan
e34fc66d Andersen-Joachim
de31038e Anderson-Elliot
e4238fb1 Anthony-Jaidon
ac05f970 Antonio-Michail
99127249 Antony
afe1a491 Arblaster-Oliver
05e8ca6d Archer-Cameron
05e8ca6d Archer-Cameron
2f965a72 Areola-Alphonse
b026bbf6 Assignon-Lorenz
5c2b4f07 Aurier-Serge
e5478b87 Awoniyi-Taiwo
da052c14 Ayew-Jordan
06df8256 Badiashile-Benoît
3a233281 Bailey-Leon
394854c4 Baldock-George
a1390d2f Baleba-Carlos
f449640d Ballo-Touré-Fodé
2886c9b5 Baptiste-Shandon
3a24769f Barkley-Ross
3ea50f67 Barnes-Harvey
1aa84968 Basham-Chris
a36524bf Bassey-Calvin
a011a1e9 Beck-Owen
50dc94ce Beek-Donny-van
399e9474 Bell-Amari'i
10f0fdd3 Bellegarde-Jean-Ricner
9ade9ce1 Ben-Slimane-Anis
5a04fd92 Benrahma-Saïd
3b8674e6 Bentancur-Rodrigo
68db6358 Bentley-Daniel
f72293fc Berg-Guðmundsson-Jóhann
d0b6129f Berge-Sander
2aaadf33 Berry-Luke
ed5c0319 Beto
9af1f9ff Beyer-Jordan
d328a254 Billing-Philip
6c203af0 Bissouma-Yves
4c5835e6 Boaitey-Benicio
eed2427e Bobb-Oscar
ae5019e6 Bogle-Jayden
a4ac4b8f Boly-Willy
ccce7025 Botman-Sven
79c84d1c Bowen-Jarrod
bbd67769 Bradley-Conor
c1949191 Branthwaite-Jarrad
57827369 Brereton-Ben
30e81a88 Brewster-Rhian
97220da2 Broja-Armando
97220da2 Broja-Armando
5f346071 Brooks-Andre
dc4cae05 Brooks-David
ca18c8f1 Brown-Jacob
47369df8 Brownhill-Josh
4e204552 Bruun-Larsen-Jacob
bfc3b3a0 Bueno-Hugo
edc98fac Bueno-Santiago
468a7a91 Buonanotte-Facundo
a681b7b7 Burke-Reece
b2d31e83 Burn-Dan
dab84ad2 Burstow-Mason
16264a81 Caicedo-Moisés
a8748947 Cairney-Tom
59e6e5bf Calvert-Lewin-Dominic
4506aec5 Cannon-Thomas
b4a014b1 Carlos-Diego
fb920f3a Casadei-Cesare
4d224fe8 Casemiro
2389cdc2 Cash-Matty
197640fd Castagne-Timothy
e28868f3 Castro-Jonny
5515376c Chalobah-Trevoh
dc6f5bdd Chambers-Calum
890f108d Chermiti-Youssef
d2424d1b Chilwell-Ben
34721c11 Chirewa-Tawanda
2696b6a9 Chong-Tahith
26ce2263 Christie-Ryan
b2f9c73e Chukwuemeka-Carney
73341ace Clark-Bobby
7c5fa6cf Clark-Jordan
0442183b Clyne-Nathaniel
0420d84f Coleman-Séamus
a8c19eb8 Collins-Nathan
700783e7 Colwill-Levi
2afc7272 Cook-Lewis
74e12f1e Cork-Jack
beb391dd Cornet-Maxwel
fdf3cb77 Coufal-Vladimír
0ef89a37 Coutinho-Philippe
4f974391 Cresswell-Aaron
1daec722 Cucurella-Marc
f6d7d690 Cullen-Josh
dc62b55d Cunha-Matheus
db4ed67b Dahoud-Mahmoud
93e08bce Dakhil-Ameen
d9565625 Dalot-Diogo
215f3907 Damsgaard-Mikkel
a816dbfb Danilo
f08490a6 Danjuma-Arnaut
003cf4d1 Danns-Jayden
60344e4f Dasilva-Josh
e82900ef Datro-Fofana-David
44781702 Davies-Ben
9228b07c Davies-Tom
3e9e06cb Dawson-Craig
e46012d4 De-Bruyne-Kevin
b737f944 Delcroix-Hannes
5a7301ae Dendoncker-Leander
aeed5c06 Diaby-Moussa
9dc96f10 Diallo-Amad
e31708b2 Diallo-Amadou
31c69ef1 Dias-Rúben
4a1a9578 Díaz-Luis
ac861941 Dier-Eric
1b84dbe1 Digne-Lucas
a712ca2b Diop-Issa
ad82197c Disasi-Axel
733f1a7d Doak-Ben
e814e1cf Dobbin-Lewis
d557d734 Doherty-Matt
fffea3e5 Doku-Jeremy
20b3a502 Domínguez-Nicolás
5e4d9b48 Donley-Jamie
67ac5bb8 Dos-Santos-Gabriel
02b29014 Doucouré-Abdoulaye
ce4f40c7 Doucouré-Cheick
bf33b257 Doughty-Alfie
5526deb1 Doyle-Tommy
620922ed Drăgușin-Radu
3a949a25 Dúbravka-Martin
3fe6bd8c Dummett-Paul
282f75f3 Dunk-Lewis
414184f7 Durán-Jhon
3bb7b8b4 Ederson
0562b7f1 Édouard-Odsonne
debe38a0 Egan-John
3d554589 Ekdal-Hjalmar
2fba6108 Elanga-Anthony
b9e1436c Elliott-Harvey
47a34c4f Elneny-Mohamed
df8b52a5 Emerson
9cfbad36 Enciso-Julio
c149016b Endo-Wataru
980522ec Eriksen-Christian
1a066e69 Estève-Maxime
d38fdf53 Estupiñán-Pervis
f8fcd2a5 Evans-Jonny
ae4fc6a4 Eze-Eberechi
9328b835 Fabiański-Łukasz
745ca0a3 Faivre-Romain
0ba976e4 Fati-Ansu
51a3c4c8 Felipe
4596da74 Ferguson-Evan
507c7bdf Fernandes-Bruno
5ff4ab71 Fernández-Enzo
b63e789d Fleck-John
a92ab7be Flekken-Mark
ed1e53f3 Foden-Phil
96cf7b61 Foderingham-Wes
82927de4 Fornals-Pablo
1b9728b0 Forson-Omari
f84a807c Foster-Lyle
077faf72 França-Matheus
00b77ecf Fraser-Nathan
1971591f Gakpo-Cody
c2731c10 Gallagher-Conor
72c812f3 Gana-Gueye-Idrissa
7aa8adfe Garnacho-Alejandro
4e015693 Garner-James
f7b1d4e0 Ghoddos-Saman
32f60ed8 Gibbs-White-Morgan
7b5ab7f2 Gil-Bryan
d91f104d Gilchrist-Alfie
df10e27c Gilmour-Billy
9f7c837d Godfrey-Ben
1961b2aa Gomes-André
8b57ad2c Gomes-João
f0caab96 Gomes-Toti
7a11550b Gomez-Joe
01e5f06e Gómez-Sergio
2bd83368 Gordon-Anthony
19a9cb70 Gordon-Kaide
861e9b3b Gore-Daniel
b8e740fb Gravenberch-Ryan
3f034750 Grbić-Ivo
b0b4fd3e Grealish-Jack
8aec0537 Groß-Pascal
d0706b27 Guéhi-Marc
82518f62 Guimarães-Bruno
d56b9520 Gusto-Malo
5ad50391 Gvardiol-Joško
1f44ac21 Haaland-Erling
